UTC,latitude,longitude
16,14,46.85,-134.1233333
16,16,45.26,-128.38
16,18,43.955,-124.4133333
16,20,42.79333333,-121.2983333
16,22,41.725,-118.705
16,24,40.725,-116.475
16,26,39.775,-114.5116667
16,28,38.86833333,-112.7566667
16,30,37.99666667,-111.17
16,32,37.15666667,-109.72
16,34,36.34166667,-108.3866667
16,36,35.55,-107.1516667
16,38,34.77833333,-106.0016667
16,40,34.02666667,-104.925
16,42,33.29166667,-103.915
16,44,32.57333333,-102.9616667
16,46,31.86833333,-102.06
16,48,31.17666667,-101.2066667
16,50,30.49833333,-100.3933333
16,52,29.83,-99.61666667
16,54,29.17333333,-98.87666667
16,56,28.52666667,-98.16666667
16,58,27.89,-97.485
17,00,27.26333333,-96.83
17,02,26.64333333,-96.19833333
17,04,26.03333333,-95.59
17,06,25.43,-95.00166667
17,08,24.83333333,-94.43166667
17,10,24.245,-93.87833333
17,12,23.66333333,-93.34166667
17,14,23.08833333,-92.82
17,16,22.52,-92.31166667
17,18,21.95833333,-91.81666667
17,20,21.4,-91.33166667
17,22,20.85,-90.85833333
17,24,20.30333333,-90.395
17,26,19.76333333,-89.94166667
17,28,19.22666667,-89.495
17,30,18.69666667,-89.05666667
17,32,18.17166667,-88.625
17,34,17.65,-88.2
17,36,17.13333333,-87.78
17,38,16.62166667,-87.36666667
17,40,16.11333333,-86.95666667
17,42,15.61,-86.55166667
17,44,15.11,-86.14833333
17,46,14.615,-85.75
17,48,14.12166667,-85.35333333
17,50,13.635,-84.95833333
17,52,13.15,-84.56666667
17,54,12.67,-84.175
17,56,12.19333333,-83.78333333
17,58,11.72,-83.39333333
18,00,11.25,-83.00333333
18,02,10.78333333,-82.61166667
18,04,10.32166667,-82.22
18,06,9.861666667,-81.82666667
18,08,9.405,-81.43166667
18,10,8.953333333,-81.03333333
18,12,8.503333333,-80.63333333
18,14,8.056666667,-80.23
18,16,7.613333333,-79.82333333
18,18,7.175,-79.41333333
18,20,6.738333333,-78.99833333
18,22,6.305,-78.57833333
18,24,5.875,-78.15333333
18,26,5.448333333,-77.72166667
18,28,5.023333333,-77.285
18,30,4.603333333,-76.84
18,32,4.186666667,-76.38833333
18,34,3.773333333,-75.93
18,36,3.363333333,-75.46166667
18,38,2.956666667,-74.98333333
18,40,2.551666667,-74.49666667
18,42,2.151666667,-73.99833333
18,44,1.756666667,-73.49
18,46,1.363333333,-72.96833333
18,48,0.975,-72.43333333
18,50,0.588333333,-71.88666667
18,52,0.208333333,-71.32333333
18,54,-0.17,-70.745
18,56,-0.543333333,-70.15
18,58,-0.911666667,-69.535
19,00,-1.275,-68.90166667
19,02,-1.635,-68.24833333
19,04,-1.99,-67.57166667
19,06,-2.338333333,-66.87
19,08,-2.683333333,-66.14166667
19,10,-3.021666667,-65.385
19,12,-3.353333333,-64.59666667
19,14,-3.678333333,-63.775
19,16,-3.996666667,-62.915
19,18,-4.306666667,-62.01333333
19,20,-4.61,-61.06666667
19,22,-4.903333333,-60.06666667
19,24,-5.185,-59.01
19,26,-5.456666667,-57.88666667
19,28,-5.715,-56.68666667
19,30,-5.96,-55.4
19,32,-6.186666667,-54.00666667
19,34,-6.391666667,-52.485
19,36,-6.571666667,-50.80666667
19,38,-6.72,-48.92166667
19,40,-6.823333333,-46.755
19,42,-6.863333333,-44.17
19,44,-6.793333333,-40.85833333
19,46,-6.441666667,-35.665
